Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO BMG S.A.;61186680;BMG - PRUDENCIAL;30290;80178;b1;2;8;SAO PAULO;SP;12/2021;36.930.533;14.494.477;33.067.680;29.113.299;3.862.853;90.623;29;0
BANCO INTER S.A.;416968;INTER - PRUDENCIAL;51884;80996;b1;2;8;BELO HORIZONTE;MG;12/2021;36.488.606;16.996.149;27.999.965;23.309.547;8.488.640;10.065;19;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE - PRUDENCIAL;51066;80491;b1;3;8;SAO PAULO;SP;12/2021;35.369.942;3.142.076;32.997.291;7.641.020;2.372.651;38.345;2;0
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES - PRUDENCIAL;30159;80147;b1;1;8;VITORIA;ES;12/2021;33.948.045;6.379.709;32.058.379;30.886.177;1.889.666;136.397;103;51
STONE PAGAMENTOS S.A.;16501555;STONE PAGAMENTOS - PRUDENCIAL;;84686;n4;2;41;SAO PAULO;SP;12/2021;32.520.124;0;31.324.037;4.582.769;1.196.087;-101.691;1;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2021;30.492.832;30.606.475;27.536.440;26.940.705;2.956.392;58.086;2;0
BRB - BANCO DE BRASILIA S.A.;208;BRB - PRUDENCIAL;31976;80288;b1;1;8;BRASILIA;DF;12/2021;30.478.657;18.484.693;27.947.503;25.129.278;2.531.154;295.556;125;27
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH - PRUDENCIAL;51255;80556;b1;3;8;SAO PAULO;SP;12/2021;30.069.801;814.790;26.716.000;15.315.566;3.353.801;324.346;2;0
BANCO BANDEPE S.A.;10866788;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;12/2021;28.975.653;0;23.566.181;23.372.820;5.409.472;118.727;2;0
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN - PRUDENCIAL;;80202;b2;3;8;SAO PAULO;SP;12/2021;27.928.566;23.662.645;25.104.347;19.870.028;2.824.219;86.140;2;0
BANCO MUFG BRASIL S.A.;60498557;BCO MUFG BRASIL S.A. - PRUDENCIAL;;81713;b1;3;8;SAO PAULO;SP;12/2021;26.797.071;2.659.137;25.462.914;7.458.324;1.334.157;18.012;2;0
BANCO DA AMAZONIA S.A.;4902979;BCO DA AMAZONIA S.A. - PRUDENCIAL;;81249;b1;1;2;BELEM;PA;12/2021;25.952.485;11.278.147;23.007.532;7.609.115;2.944.953;435.201;119;0
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2021;24.953.496;315.395;1.084.170;0;23.869.326;72.557;1;0
BANCO J. SAFRA S.A.;3017677;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;12/2021;24.465.535;17.915.284;23.410.928;22.448.431;1.054.607;137.026;2;0
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA - PRUDENCIAL;51293;80570;b2;2;13;SAO PAULO;SP;12/2021;24.396.046;5.606.196;22.815.120;22.666.385;1.580.926;33.314;9;1
PAGSEGURO INTERNET S.A.;8561701;PAGSEGURO - PRUDENCIAL;;84813;n4;2;41;SAO PAULO;SP;12/2021;24.376.755;409.593;15.841.308;1.435.121;8.535.447;581.131;1;0
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE - PRUDENCIAL;31859;80264;b1;3;8;SAO PAULO;SP;12/2021;23.378.177;1.300.606;21.833.605;4.263.694;1.544.572;-17.325;2;0
BANCO ORIGINAL S.A.;92894922;BANCO ORIGINAL - PRUDENCIAL;51781;80903;b1;2;8;SAO PAULO;SP;12/2021;22.406.742;12.840.083;20.140.283;18.268.490;2.266.460;12.941;2;0
